bikeid,trips,distance,stations,duration,avg_trip_distance,avg_trip_duration,avg_age,age_range,revenue
1,397,1111166,151,543509,2798.9,1369.0,38.2,54.0,632.0
10,439,1220062,166,504976,2779.2,1150.3,35.9,45.0,266.5
100,484,1349219,176,581905,2787.6,1202.3,37.8,58.0,383.0
1000,285,845188,141,375049,2965.6,1316.0,35.9,46.0,296.0
1001,363,1063127,160,443610,2928.7,1222.1,38.2,55.0,294.5
1002,321,902115,144,387724,2810.3,1207.9,37.5,45.0,255.5
1003,326,969122,146,431128,2972.8,1322.5,37.4,54.0,307.5
1004,346,951828,155,409297,2750.9,1182.9,36.7,43.0,288.5
1005,275,748889,122,320067,2723.2,1163.9,37.0,43.0,185.0
1007,184,413264,110,292315,2246.0,1588.7,37.0,39.0,375.0
1008,346,919606,137,427653,2657.8,1236.0,37.5,54.0,271.5
1009,323,903765,149,539208,2798.0,1669.4,36.6,50.0,792.5
101,469,1365618,167,540471,2911.8,1152.4,36.2,46.0,270.0
1010,353,1141058,151,407357,3232.5,1154.0,36.8,54.0,277.5
1013,192,479796,122,207855,2498.9,1082.6,37.1,53.0,128.0
1014,253,654233,140,284565,2585.9,1124.8,37.6,40.0,215.0
1015,353,821396,116,382963,2326.9,1084.9,34.1,45.0,211.5
1016,348,586725,115,357993,1686.0,1028.7,34.2,43.0,301.0
1018,390,1129493,171,582393,2896.1,1493.3,37.6,54.0,827.5
1019,376,1019108,157,517434,2710.4,1376.2,38.5,54.0,556.5
102,387,958127,139,491823,2475.8,1270.9,38.7,44.0,375.0
1020,314,839084,153,380509,2672.2,1211.8,37.4,45.0,254.5
1021,425,1163921,173,484858,2738.6,1140.8,36.5,48.0,282.5
1022,316,895432,162,353642,2833.6,1119.1,36.9,50.0,192.0
1023,254,831255,147,409556,3272.7,1612.4,36.9,55.0,518.0
1024,320,754055,150,344947,2356.4,1078.0,38.2,46.0,216.5
1025,305,800614,145,343046,2625.0,1124.7,36.0,47.0,190.5
1026,301,885107,162,359076,2940.6,1192.9,36.1,51.0,216.0
1027,190,579299,110,274202,3048.9,1443.2,37.5,43.0,247.5
1028,253,649286,132,378804,2566.3,1497.2,36.4,55.0,475.5
1029,399,1061139,173,418781,2659.5,1049.6,36.6,54.0,260.0
103,405,1086324,174,630041,2682.3,1555.7,36.4,48.0,938.5
1030,365,1073164,176,480040,2940.2,1315.2,36.5,45.0,627.5
1031,249,690487,136,408915,2773.0,1642.2,36.1,42.0,576.0
1032,349,934607,166,508365,2678.0,1456.6,38.1,48.0,635.0
1033,385,1078516,177,435243,2801.3,1130.5,37.4,40.0,231.0
1034,390,1066016,171,530388,2733.4,1360.0,35.5,44.0,623.0
1035,368,977211,160,466503,2655.5,1267.7,37.8,48.0,393.5
1036,300,775707,149,408947,2585.7,1363.2,40.2,86.0,491.5
1037,288,747637,147,312349,2596.0,1084.5,36.7,47.0,193.0
1038,354,975303,161,482928,2755.1,1364.2,35.8,43.0,465.5
1039,436,1305856,180,602981,2995.1,1383.0,36.2,43.0,650.0
104,440,1261477,167,621354,2867.0,1412.2,37.7,51.0,830.5
1040,263,754091,142,439949,2867.3,1672.8,36.2,53.0,555.5
1041,299,758175,155,412700,2535.7,1380.3,37.5,37.0,482.0
1042,367,962388,162,440633,2622.3,1200.6,38.9,87.0,304.0
1043,346,931932,157,380187,2693.4,1098.8,37.6,64.0,161.5
1044,362,923733,163,416391,2551.7,1150.3,36.7,52.0,283.5
1045,344,903207,158,499683,2625.6,1452.6,37.4,46.0,621.5
1046,314,876863,153,390600,2792.6,1243.9,38.0,47.0,278.5
1047,344,969204,158,476044,2817.5,1383.8,37.3,52.0,517.5
1048,404,1009513,163,495339,2498.8,1226.1,36.0,49.0,424.5
1049,244,738807,130,298831,3027.9,1224.7,37.6,58.0,216.0
105,387,1135348,150,496849,2933.7,1283.8,36.5,53.0,313.0
1050,244,702813,136,382597,2880.4,1568.0,36.8,38.0,621.5
1051,291,792005,148,419025,2721.7,1439.9,38.0,54.0,564.5
1052,381,1029957,167,486787,2703.3,1277.7,35.9,56.0,355.5
1053,378,1028128,167,427967,2719.9,1132.2,38.6,41.0,223.0
1054,349,884183,167,420333,2533.5,1204.4,37.4,47.0,281.0
1055,235,663663,146,293056,2824.1,1247.0,36.9,49.0,237.5
1056,318,829192,151,377939,2607.5,1188.5,37.2,49.0,351.5
1057,255,639210,129,321371,2506.7,1260.3,38.5,50.0,255.5
1058,330,885919,157,450997,2684.6,1366.7,36.8,45.0,458.5
1059,319,934858,151,496911,2930.6,1557.7,36.3,45.0,628.5
106,376,1121377,161,496693,2982.4,1321.0,38.1,49.0,461.5
1060,365,1023211,173,337672,2803.3,925.1,36.1,43.0,101.0
1061,395,1072000,162,502666,2713.9,1272.6,38.4,48.0,380.0
1062,315,868224,170,300658,2756.3,954.5,37.2,48.0,95.0
1063,286,738659,145,412448,2582.7,1442.1,37.8,43.0,558.5
1064,335,815086,164,446025,2433.1,1331.4,36.0,54.0,529.5
1065,276,732246,146,336460,2653.1,1219.1,37.3,41.0,210.5
