bikeid,birthyear,gender,to_station_name,from_station_name,end_station,usertype,meters,stoptime,from_station_id,starttime,to_station_id,start_station,tripduration,trip_id
1967,,,Morgan St & Polk St,Halsted St & Maxwell St,Morgan St & Polk St,Customer,1156,9/21/2013 22:42,161,9/21/2013 22:06,168,Halsted St & Maxwell St,"2,161",554275
1967,,,Museum Campus,Canal St & Jackson Blvd,Museum Campus,Customer,3754,9/22/2013 11:54,138,9/22/2013 11:33,29,Canal St & Jackson Blvd,"1,272",556984
1967,,,State St & Wacker Dr,Museum Campus,State St & Wacker Dr,Customer,5065,9/22/2013 12:49,29,9/22/2013 12:22,339,Museum Campus,"1,597",557641
1967,,,Stetson Ave & South Water St,State St & Wacker Dr,Stetson Ave & South Water St,Customer,1819,9/22/2013 14:27,339,9/22/2013 12:59,48,State St & Wacker Dr,"5,250",558155
1967,,,Wells St & Walton St,Franklin St & Arcade Pl,Wells St & Walton St,Customer,2371,9/23/2013 18:27,57,9/23/2013 17:45,46,Franklin St & Arcade Pl,"2,478",570637
1967,,,Clark St & Elm St,Hampden Ct & Diversey Pkwy,Clark St & Elm St,Customer,3615,9/24/2013 22:48,123,9/24/2013 22:18,349,Hampden Ct & Diversey Pkwy,"1,834",581574
1967,,,LaSalle St & Illinois St,Clybourn Ave & Division St,LaSalle St & Illinois St,Customer,2152,10/1/2013 11:03,171,10/1/2013 10:51,430,Clybourn Ave & Division St,742,649003
1967,,,Sedgwick St & North Ave,Canal St & Monroe St,Sedgwick St & North Ave,Customer,4172,10/3/2013 17:04,56,10/3/2013 16:41,70,Canal St & Monroe St,"1,404",670874
1967,,,Larrabee St & Webster Ave,Sedgwick St & North Ave,Larrabee St & Webster Ave,Customer,1464,10/4/2013 8:34,70,10/4/2013 8:26,193,Sedgwick St & North Ave,439,675092
1967,,,Millennium Park,St Clair St & Erie St,Millennium Park,Customer,1693,10/5/2013 12:52,16,10/5/2013 12:23,8,St Clair St & Erie St,"1,724",687399
1967,,,Museum Campus,Millennium Park,Museum Campus,Customer,2745,10/5/2013 14:02,8,10/5/2013 13:35,29,Millennium Park,"1,611",688524
1967,,,Fort Dearborn Dr & 31st St,Museum Campus,Fort Dearborn Dr & 31st St,Customer,3620,10/5/2013 14:27,29,10/5/2013 14:03,220,Museum Campus,"1,437",688954
1967,,,Fort Dearborn Dr & 31st St,Fort Dearborn Dr & 31st St,Fort Dearborn Dr & 31st St,Customer,0,10/5/2013 15:01,220,10/5/2013 14:31,220,Fort Dearborn Dr & 31st St,"1,774",689459
1967,,,Fort Dearborn Dr & 31st St,Fort Dearborn Dr & 31st St,Fort Dearborn Dr & 31st St,Customer,0,10/5/2013 15:23,220,10/5/2013 15:02,220,Fort Dearborn Dr & 31st St,"1,251",689976
1967,,,Museum Campus,Fort Dearborn Dr & 31st St,Museum Campus,Customer,3752,10/5/2013 15:47,220,10/5/2013 15:24,29,Fort Dearborn Dr & 31st St,"1,345",690341
1967,,,Wabash Ave & Grand Ave,Clark St & Randolph St,Wabash Ave & Grand Ave,Customer,1387,10/5/2013 18:28,5,10/5/2013 18:20,4,Clark St & Randolph St,504,691404
1967,,,State St & Harrison St,Wabash Ave & Grand Ave,State St & Harrison St,Customer,2577,10/6/2013 2:35,4,10/6/2013 2:26,30,Wabash Ave & Grand Ave,540,692640
1967,,,Clinton St & Madison St,Clinton St & Roosevelt Rd,Clinton St & Madison St,Customer,1883,10/6/2013 18:11,327,10/6/2013 18:00,301,Clinton St & Roosevelt Rd,612,699102
1967,,,Canal St & Harrison St,Clinton St & 18th St,Canal St & Harrison St,Customer,1990,10/7/2013 8:54,329,10/7/2013 8:44,326,Clinton St & 18th St,575,701790
1967,,,Fairbanks Ct & Grand Ave,Michigan Ave & Lake St,Fairbanks Ct & Grand Ave,Customer,1163,10/9/2013 19:17,43,10/9/2013 18:44,262,Michigan Ave & Lake St,"2,019",728443
1967,,,Millennium Park,Michigan Ave & Jackson Blvd,Millennium Park,Customer,354,10/10/2013 11:07,340,10/10/2013 9:39,8,Michigan Ave & Jackson Blvd,"5,272",732606
1967,,,State St & Kinzie St,Michigan Ave & Pearson St,State St & Kinzie St,Customer,1785,10/10/2013 21:57,34,10/10/2013 21:31,50,Michigan Ave & Pearson St,"1,556",740710
1967,,,State St & Randolph St,State St & Kinzie St,State St & Randolph St,Customer,525,10/10/2013 22:32,50,10/10/2013 21:59,2,State St & Kinzie St,"1,964",740855
1967,,,State St & Van Buren St,State St & Randolph St,State St & Van Buren St,Customer,839,10/11/2013 10:14,2,10/11/2013 10:11,3,State St & Randolph St,206,744253
1967,,,Michigan Ave & 18th St,Michigan Ave & 18th St,Michigan Ave & 18th St,Customer,0,10/11/2013 18:44,150,10/11/2013 17:47,150,Michigan Ave & 18th St,"3,373",751414
1967,,,Clark St & Elm St,Michigan Ave & 18th St,Clark St & Elm St,Customer,8110,10/11/2013 21:17,150,10/11/2013 20:29,349,Michigan Ave & 18th St,"2,870",753350
