bikeid,birthyear,end_station,from_lat,from_long,from_station_id,from_station_name,gender,meters,start_station,starttime,stoptime,to_lat,to_long,to_station_id,to_station_name,trip_id,tripduration,usertype
420,1980,Wabash Ave & Roosevelt Rd,41.8671729952,-87.6259550069,31,Wabash Ave & Roosevelt Rd,Male,0,Wabash Ave & Roosevelt Rd,6/27/2013 21:54,6/27/2013 21:56,41.8671729952,-87.6259550069,31,Wabash Ave & Roosevelt Rd,4814,128,Subscriber
420,1983,Ogden Ave & Chicago Ave,41.8671729952,-87.6259550069,31,Wabash Ave & Roosevelt Rd,Male,5140,Wabash Ave & Roosevelt Rd,6/28/2013 6:58,6/28/2013 7:21,41.896362458,-87.6540612729,44,Ogden Ave & Chicago Ave,5162,"1,346",Subscriber
420,,McClurg Ct & Illinois St,41.896362458,-87.6540612729,44,Ogden Ave & Chicago Ave,,3620,Ogden Ave & Chicago Ave,6/28/2013 13:16,6/28/2013 13:51,41.89102,-87.6173,51,McClurg Ct & Illinois St,5962,"2,094",Customer
420,,Franklin St & Chicago Ave,41.89102,-87.6173,51,McClurg Ct & Illinois St,,2179,McClurg Ct & Illinois St,6/28/2013 14:25,6/28/2013 14:41,41.89680204,-87.63563839,17,Franklin St & Chicago Ave,6273,966,Customer
420,,Ashland Ave & Armitage Ave,41.89680204,-87.63563839,17,Franklin St & Chicago Ave,,4212,Franklin St & Chicago Ave,6/28/2013 20:08,6/28/2013 20:37,41.9178588677,-87.668919,25,Ashland Ave & Armitage Ave,7323,"1,742",Customer
420,1976,Sheffield Ave & Fullerton Ave,41.9178588677,-87.668919,25,Ashland Ave & Armitage Ave,Male,2325,Ashland Ave & Armitage Ave,6/29/2013 0:16,6/29/2013 0:32,41.9256018819,-87.6537080423,60,Sheffield Ave & Fullerton Ave,7569,937,Subscriber
420,,McClurg Ct & Illinois St,41.9256018819,-87.6537080423,60,Sheffield Ave & Fullerton Ave,,6274,Sheffield Ave & Fullerton Ave,6/29/2013 10:28,6/29/2013 11:02,41.89102,-87.6173,51,McClurg Ct & Illinois St,7768,"1,992",Customer
420,1987,Clark St & Wrightwood Ave,41.89102,-87.6173,51,McClurg Ct & Illinois St,Male,6130,McClurg Ct & Illinois St,6/29/2013 14:47,6/29/2013 15:05,41.929546,-87.643118,209,Clark St & Wrightwood Ave,8471,"1,052",Subscriber
420,,Wells St & Erie St,41.929546,-87.643118,209,Clark St & Wrightwood Ave,,4188,Clark St & Wrightwood Ave,6/29/2013 15:17,6/29/2013 15:31,41.893832,-87.634195,64,Wells St & Erie St,8555,833,Customer
420,,Michigan Ave & Congress Pkwy,41.893832,-87.634195,64,Wells St & Erie St,,2770,Wells St & Erie St,6/29/2013 16:22,6/29/2013 17:06,41.876065599,-87.6244333636,40,Michigan Ave & Congress Pkwy,8781,"2,623",Customer
420,,Wells St & Erie St,41.876065599,-87.6244333636,40,Michigan Ave & Congress Pkwy,,3112,Michigan Ave & Congress Pkwy,6/29/2013 17:08,6/29/2013 17:29,41.893832,-87.634195,64,Wells St & Erie St,8924,"1,271",Customer
420,,Orleans St & Elm St,41.893832,-87.634195,64,Wells St & Erie St,,1489,Wells St & Erie St,6/29/2013 18:44,6/29/2013 19:00,41.902924,-87.637715,172,Orleans St & Elm St,9206,930,Customer
420,,Ashland Ave & Augusta Blvd,41.9093960065,-87.6776919292,65,Damen Ave & Pierce Ave,,1896,Damen Ave & Pierce Ave,6/30/2013 13:04,6/30/2013 13:28,41.899643,-87.6677,248,Ashland Ave & Augusta Blvd,10480,"1,410",Customer
420,,Ashland Ave & Augusta Blvd,41.899643,-87.6677,248,Ashland Ave & Augusta Blvd,,0,Ashland Ave & Augusta Blvd,6/30/2013 13:33,6/30/2013 13:58,41.899643,-87.6677,248,Ashland Ave & Augusta Blvd,10618,"1,452",Customer
420,,Wood St & Division St,41.899643,-87.6677,248,Ashland Ave & Augusta Blvd,,812,Ashland Ave & Augusta Blvd,7/2/2013 19:29,7/2/2013 19:32,41.90332,-87.67273,246,Wood St & Division St,19081,183,Customer
420,,Ashland Ave & Augusta Blvd,41.90332,-87.67273,246,Wood St & Division St,,812,Wood St & Division St,7/3/2013 7:12,7/3/2013 7:16,41.899643,-87.6677,248,Ashland Ave & Augusta Blvd,19453,209,Customer
420,1982,Clinton St & Washington Blvd,41.899643,-87.6677,248,Ashland Ave & Augusta Blvd,Male,3263,Ashland Ave & Augusta Blvd,7/3/2013 8:37,7/3/2013 8:50,41.88338,-87.64117,10,Clinton St & Washington Blvd,19621,766,Subscriber
420,1975,Dearborn St & Monroe St,41.88338,-87.64117,10,Clinton St & Washington Blvd,Male,1360,Clinton St & Washington Blvd,7/3/2013 9:11,7/3/2013 9:17,41.881319815,-87.6295209193,49,Dearborn St & Monroe St,19697,391,Subscriber
420,1982,Franklin St & Chicago Ave,41.881319815,-87.6295209193,49,Dearborn St & Monroe St,Male,2225,Dearborn St & Monroe St,7/3/2013 13:25,7/3/2013 13:38,41.89680204,-87.63563839,17,Franklin St & Chicago Ave,20502,801,Subscriber
420,,Clark St & Randolph St,41.893832,-87.634195,64,Wells St & Erie St,,1369,Wells St & Erie St,7/5/2013 11:33,7/5/2013 11:43,41.884576228,-87.63188991,5,Clark St & Randolph St,26595,582,Customer
420,,Fairbanks Ct & Grand Ave,41.884576228,-87.63188991,5,Clark St & Randolph St,,1896,Clark St & Randolph St,7/5/2013 12:56,7/5/2013 13:24,41.89186,-87.62062,262,Fairbanks Ct & Grand Ave,27168,"1,704",Customer
420,,Franklin St & Chicago Ave,41.8847302006,-87.6277335692,2,State St & Randolph St,,1975,State St & Randolph St,7/5/2013 17:11,7/5/2013 17:41,41.89680204,-87.63563839,17,Franklin St & Chicago Ave,28713,"1,756",Customer
420,,Wilton Ave & Diversey Pkwy,41.89680204,-87.63563839,17,Franklin St & Chicago Ave,,5143,Franklin St & Chicago Ave,7/5/2013 17:44,7/5/2013 18:04,41.93250008,-87.65268082,66,Wilton Ave & Diversey Pkwy,28872,"1,199",Customer
420,,Lake Shore Dr & Monroe St,41.9256018819,-87.6537080423,60,Sheffield Ave & Fullerton Ave,,7612,Sheffield Ave & Fullerton Ave,7/6/2013 11:52,7/6/2013 12:30,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,30915,"2,276",Customer
420,,Dearborn St & Monroe St,41.881319815,-87.6295209193,49,Dearborn St & Monroe St,,0,Dearborn St & Monroe St,7/6/2013 16:47,7/6/2013 16:50,41.881319815,-87.6295209193,49,Dearborn St & Monroe St,32652,166,Customer
420,,Michigan Ave & Pearson St,41.881319815,-87.6295209193,49,Dearborn St & Monroe St,,2324,Dearborn St & Monroe St,7/6/2013 18:12,7/6/2013 18:38,41.89766,-87.62351,34,Michigan Ave & Pearson St,33045,"1,537",Customer
420,,Michigan Ave & Pearson St,41.89766,-87.62351,34,Michigan Ave & Pearson St,,0,Michigan Ave & Pearson St,7/6/2013 19:15,7/6/2013 20:32,41.89766,-87.62351,34,Michigan Ave & Pearson St,33273,"4,634",Customer
420,,Michigan Ave & Pearson St,41.89766,-87.62351,34,Michigan Ave & Pearson St,,0,Michigan Ave & Pearson St,7/7/2013 0:52,7/7/2013 0:54,41.89766,-87.62351,34,Michigan Ave & Pearson St,34032,130,Customer
420,,Michigan Ave & Pearson St,41.89766,-87.62351,34,Michigan Ave & Pearson St,,0,Michigan Ave & Pearson St,7/7/2013 8:19,7/7/2013 9:56,41.89766,-87.62351,34,Michigan Ave & Pearson St,34198,"5,804",Customer
420,,Michigan Ave & Oak St,41.89766,-87.62351,34,Michigan Ave & Pearson St,,1077,Michigan Ave & Pearson St,7/7/2013 10:06,7/7/2013 10:48,41.90096039,-87.62377664,42,Michigan Ave & Oak St,34383,"2,522",Customer
420,,Lincoln Ave & Armitage Ave,41.89766,-87.62351,34,Michigan Ave & Pearson St,,3880,Michigan Ave & Pearson St,7/7/2013 12:01,7/7/2013 12:27,41.918273,-87.638116,146,Lincoln Ave & Armitage Ave,34756,"1,553",Customer
420,,Racine Ave & Fullerton Ave,41.918273,-87.638116,146,Lincoln Ave & Armitage Ave,,2500,Lincoln Ave & Armitage Ave,7/7/2013 17:56,7/7/2013 18:18,41.92556258,-87.65840426,189,Racine Ave & Fullerton Ave,36401,"1,289",Customer
420,,Lake Shore Dr & Monroe St,41.92556258,-87.65840426,189,Racine Ave & Fullerton Ave,,8008,Racine Ave & Fullerton Ave,7/7/2013 19:09,7/7/2013 19:49,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,36657,"2,364",Customer
420,,Lake Shore Dr & Monroe St,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,,0,Lake Shore Dr & Monroe St,7/7/2013 21:00,7/7/2013 22:18,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,36961,"4,720",Customer
420,,Lake Shore Dr & Monroe St,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,,0,Lake Shore Dr & Monroe St,7/8/2013 0:00,7/8/2013 0:44,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,37222,"2,639",Customer
420,,Lake Shore Dr & Monroe St,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,,0,Lake Shore Dr & Monroe St,7/8/2013 9:13,7/8/2013 9:45,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,37489,"1,925",Customer
420,,Lake Shore Dr & Monroe St,41.89102,-87.6173,51,McClurg Ct & Illinois St,,1620,McClurg Ct & Illinois St,7/8/2013 14:42,7/8/2013 14:50,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,38160,494,Customer
420,,Museum Campus,41.88105,-87.61697,300,Lake Shore Dr & Monroe St,,2262,Lake Shore Dr & Monroe St,7/8/2013 14:53,7/8/2013 15:07,41.865212,-87.617759,29,Museum Campus,38175,801,Customer
420,,Morgan St & Lake St,41.865212,-87.617759,29,Museum Campus,,7091,Museum Campus,7/8/2013 16:17,7/8/2013 16:42,41.8854833079,-87.6523048564,72,Morgan St & Lake St,38466,"1,502",Customer
420,1977,Clinton St & Madison St,41.881487,-87.654752,156,Aberdeen St & Madison St,Male,1551,Aberdeen St & Madison St,7/9/2013 8:30,7/9/2013 8:36,41.8815824,-87.64127743,301,Clinton St & Madison St,39742,376,Subscriber
420,1974,Clinton St & Lake St,41.8815824,-87.64127743,301,Clinton St & Madison St,Female,952,Clinton St & Madison St,7/9/2013 19:41,7/9/2013 19:45,41.8858327415,-87.6413823149,21,Clinton St & Lake St,42870,232,Subscriber
420,1975,Eckhart Park,41.8858327415,-87.6413823149,21,Clinton St & Lake St,Male,2306,Clinton St & Lake St,7/9/2013 20:00,7/9/2013 20:11,41.89637337,-87.66098386,289,Eckhart Park,42934,672,Subscriber
